内容,发布日期,发布人,url,转发数
经查，此微博配视频称“8小时前，川皇几乎晕倒，取消了后续全部安排”不实，视频内容实际发生在2016年，特朗普演讲中被紧急拉下台。详情：https://news.china.com/zh_cn/hd/11127798/20161106/23854688.html 被举报人言论构成“发布不实信息”且，且情节恶劣。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效,3月15日,浪迹天涯律师 ,https://weibo.com/6115248076/IyLOky7BZ?type=comment,50
经查，此微博称“日本在调运中国捐赠的2000检测试剂盒中，用的是美国运输机，到达目的地，才发现这批检测试剂盒已经被运到美国本土”等内容不实，据@观察者网 查证为假消息。详情：https://weibo.com/1887344341/IxOlJwywn，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,3月14日,AC蓦然回首 ,https://weibo.com/1686199162/IytQFcFmm?type=comment,122
经查，此微博配视频称“日本在调运中国捐赠的2000检测试剂盒中，用的是美国运输机……”不实，据@观察者网 查证为假消息。详情：https://weibo.com/1887344341/IxOlJwywn，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,3月13日,一定要幸福ZF ,https://weibo.com/1947652792/IynIerirI?type=comment,66
经查，此微博配图称“广州的黑人城管正式上岗”不实，图片所示实际为2012年在安徽合肥的外国留学生受聘为城市管理志愿者，与城管一起上街执法。详情：http://news.163.com/photoview/00AP0001/25548.html#p=86HEAF2B00AP0001，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月12日,天涯当年小帅 ,https://weibo.com/1689733475/Iyh2SrmDY?type=comment#_rnd1604051297940,63
经查，该微博配图称“2020年的两院院士评选，屠呦呦教授再次落选。”不实，@捉谣记 已辟谣：经核实，2020年并非增选院士的年份，两院院士去年刚刚增选过一轮，且屠呦呦并没有参选。详情：https://weibo.com/6590980486/IwtbnatRP，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,3月8日,股市女人,https://weibo.com/5631443851/IxFlBlu8Q?type=comment#_rnd1604107706030,125
经查，此微博配图称“中国人又回来了，摇身一变，变成了外国人在中国的永居 ”不实，图片内容实际为嫁给中国人13年的越南媳妇，以及中国老公和她生的女儿，获中国“绿卡”。详情：http://local.newssc.org/system/20190111/002592029.htm 被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月6日,孙万宝 ,https://weibo.com/38722663/IxkP9EgF5?type=comment#_rnd1604108002517,386
经查，此微博称“2月4日：429死/确诊20471≈2.1%，2月5日：493死/确诊24441≈2.1%神奇的病毒，还是个数学高手”不实，据新浪新闻肺炎实时动态： 2月4日确诊 20523，死亡 426，2月5日全国确诊24433，死亡 493。此微博多项数据为作者伪造，详情：https://news.sina.cn/zt_d/yiqing0121，被举报人言论属于构成“发布不实信息”。现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：禁言30天。上述处理在公布后60分钟内生效。,2月7日,一口一个小孩- ,https://weibo.com/6035229855/It0GFc4Wz?type=comment#_rnd1604108058524,113
经查，该微博发视频称“华春莹:那些背叛祖国的明星禁止使用中国护照”不实，经核实该微博视频内容为后期配音合成，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效,3月2日,赵林-甘露公益 ,https://weibo.com/1074273855/IwFJ6dsuQ?type=comment,570
经查，该微博配图称“2020年的两院院士评选，屠呦呦教授再次落选。”不实，@捉谣记 已辟谣：经核实，2020年并非增选院士的年份，两院院士去年刚刚增选过一轮，且屠呦呦并没有参选。详情：https://weibo.com/6590980486/IwtbnatRP，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,2月26日,暴哥猛料 ,https://weibo.com/5074648251/Iw1Ra1oFX?type=comment#_rnd1604109163847,198
经查，该微博称“2020年的两院院士评选，屠呦呦再次落选。”不实，@捉谣记 已辟谣：经核实，2020年并非增选院士的年份，两院院士去年刚刚增选过一轮，且屠呦呦并没有参选。详情：https://weibo.com/6590980486/IwtbnatRP，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁止被关注7天。上述处理在公布后60分钟内生效。,2月27日,推特云飞扬 ,https://weibo.com/2736135571/Iw7BiiT17?type=comment#_rnd1604195078015,315
经查，该微博配图称“2020年的两院院士评选，屠呦呦再次落选。”不实，@捉谣记 已辟谣：经核实，2020年并非增选院士的年份，两院院士去年刚刚增选过一轮，且屠呦呦并没有参选。详情：https://weibo.com/6590980486/IwtbnatRP，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,2月26日,马跃成 ,https://weibo.com/1224900857/Iw1BhEBNC?type=comment#_rnd1604195160873,60
经查，该微博配图称“2020年的两院院士评选，屠呦呦教授再次落选。”不实，@捉谣记 已辟谣：经核实，2020年并非增选院士的年份，两院院士去年刚刚增选过一轮，且屠呦呦并没有参选。详情：https://weibo.com/6590980486/IwtbnatRP，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,2月29日,罗昌平 ,https://weibo.com/1646068663/IwqT2lIyz?type=comment#_rnd1604195288284,1149
经查，该微博称“打麻将被要求抬桌子走10公里处罚”不实，@宁波网警巡查执法 已辟谣：经核实，该情况发生于重庆市梁平区合兴镇，涉案当事人表示“公安机关念在我们初犯，就叫我们回去把麻将桌抬到派出所去，等疫情过去之后再将桌子搬回去”，详情：https://weibo.com/5617894057/IvgDQq6A2，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效,2月23日,武汉刘正涛 ,https://weibo.com/2014878391/Ivu3kfsdQ?type=comment,59
