id,mid,uid,parent,text,time
4589622380732008,4589622380732008,5511008040,NULL,"
                                                                                                                        南京清洁工带上电子手环，休息二十分钟就触发警报好像本来是用来监测生命体征，怎么落实下来感觉变味儿了 ​​​​                                            ","
                                 1月4日 12:31            	                                            已编辑
                                                "
4589710074709016,4589710074709016,2079102385,4589622380732008,这个装置，有毛病吗🙃🙃🙃,1月4日 18:20
4589709646366947,4589709646366947,erpiziIStwotwo,4589622380732008,这都可以，为什么不给强奸犯上一个？,1月4日 18:18
4589709282514242,4589709282514242,6074755606,4589622380732008,这不实真是把我笑死了，真够好孝的,1月4日 18:17
4589708838176498,4589708838176498,2818019301,4589622380732008,旧新闻就是不实消息吗,1月4日 18:15
4589708569739272,4589708569739272,6278244721,4589622380732008,恋童癖出狱都没这待遇,1月4日 18:14
4589707939812637,4589707939812637,5427141631,4589622380732008,Xjb,1月4日 18:11
4589707935357652,4589707935357652,7294420467,4589622380732008,？,1月4日 18:11
4589707764434917,4589707764434917,1794488194,4589622380732008,这尼玛……,1月4日 18:11
4589707113529501,4589707113529501,7524255459,4589622380732008,……,1月4日 18:08
4589707000813073,4589707000813073,6508967539,4589622380732008,转发微博,1月4日 18:08
4589706551756684,4589706551756684,1905512114,4589622380732008,评论区还原真相！带你体验夹🌊特色！,1月4日 18:06
4589706354109378,4589706354109378,shirleylingkeyi,4589622380732008,这简直就是我大学课上所讲的反面案例的典型…,1月4日 18:05
4589706077287506,4589706077287506,5789984615,4589622380732008,？,1月4日 18:04
4589704521451999,4589704521451999,7093085053,4589622380732008,魔幻现实。。。,1月4日 17:58
4589704328256059,4589704328256059,5851837710,4589622380732008,？？？？,1月4日 17:57
4589704206615799,4589704206615799,3871170668,4589622380732008,转发微博,1月4日 17:56
4589703984584272,4589703984584272,2748149365,4589622380732008,"蛮搞笑的 不管是内容本身还是这个""不实信息""都很好笑",1月4日 17:56
4589703813138793,4589703813138793,1787709751,4589622380732008,转发微博,1月4日 17:55
4589702349066663,4589702349066663,1794250780,4589622380732008,轉發,1月4日 17:49
4589701354493570,4589701354493570,manxueyou,4589622380732008,「不实消息」的条条点进去，就，更幽默了……,1月4日 17:45
4589700201578978,4589700201578978,1687391947,4589622380732008,转发微博,1月4日 17:41
4589699958315352,4589699958315352,1978885782,4589622380732008,。,1月4日 17:40
