id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"4477299687030121","4477299687030121",6257962828,"4477298525176167",1582954892,0,0,0,"“专家”群与“院士”圈上演技这一幕幕下限，让民众晓得了，原来它们都在猪圈里！","“专家”群与“院士”圈上演技这一幕幕下限，让民众晓得了，原来它们都在猪圈里！",1495513048,26,6,123,659,310,"刚说小事儿","刚说小事儿","利人利己之事多干，损人利己之事少干，损人不利己之事不干！","m","11","1",false,"",-1,"北京 东城区","https://tvax3.sinaimg.cn/crop.0.0.664.664.180/006PvM0kly8gbqg1sknjfj30ig0igwf1.jpg?KID=imgbed,tva&Expires=1585378667&ssig=ZY4Z1JE72B",true,null,null
"4477299703099065","4477299703099065",7194942272,"4477298525176167",1582954896,0,0,0,"转发微博","转发微博",1560589526,119,2,2757,3524,361,"stay_stupid","stay_stupid","","m","11","1000",false,"",-1,"北京","https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/007QVfa0ly8g41yawgwgwj30u00u0jvq.jpg?KID=imgbed,tva&Expires=1585378667&ssig=jcqCpo3blc",true,null,null
"4477299728772807","4477299728772807",1824957143,"4477298525176167",1582954902,0,0,0,"转发微博","转发微博",1285939771,104,6,35,3154,236,"msyhi","msyhi","总是傻乐 莫名忧伤","f","61","4",false,"",-1,"陕西 咸阳","https://tva4.sinaimg.cn/crop.38.144.361.361.180/6cc6a2d7jw8eyq6cas6jtj20c60i2dif.jpg?KID=imgbed,tva&Expires=1585378667&ssig=fUjDm2OMO8",true,null,null
"4477299779022886","4477299779022886",1874125144,"4477298525176167",1582954914,0,0,0,"转发微博","转发微博",1289486720,1872,492,244,17479,677,"莓在乎","莓在乎","BBer-Passport 一无所知的世界，走下去，才有惊喜。","m","61","1",true,"数码博主",0,"陕西 西安","https://tva2.sinaimg.cn/crop.0.256.768.768.180/6fb4e158jw8emohitfpe1j20lc0zk0ta.jpg?KID=imgbed,tva&Expires=1585378667&ssig=oZWJ97l7yA",true,null,null
"4477299846117254","4477299846117254",1670287120,"4477298525176167",1582954930,0,0,0,"哎","哎",1281141377,232,20,1,2653,147,"东门大官银","东门大官银","当俺怼轮胎时 俺在想些啥","m","33","1",false,"",-1,"浙江 杭州","https://tva2.sinaimg.cn/crop.0.0.180.180.180/638e8f10jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1585378667&ssig=Cy%2B%2BTWVGLj",true,null,null
"4477299879849425","4477299879849425",2560529903,"4477298525176167",1582954937,0,0,0,"转发微博","转发微博",1376666135,103,2,1,1583,166,"Hooooooooooray","Hooooooooooray","","m","11","1",false,"",-1,"北京 东城区","https://tvax4.sinaimg.cn/crop.0.0.664.664.180/989e95efly8g5l52woqaqj20ig0ihjra.jpg?KID=imgbed,tva&Expires=1585378667&ssig=rqo7TQOLL3",true,null,null
"4477299909320262","4477299909320262",1698595255,"4477298525176167",1582954945,0,0,0,"转发微博","转发微博",1266885881,1616,83,78,5578,1047,"小祖宗60035","小祖宗60035","一个自由散漫却有原则的人","m","32","1",true,"立润网络科技（上海）有限公司 市场营销总监",0,"江苏 南京","https://tva2.sinaimg.cn/crop.0.54.640.640.180/653e81b7jw8eco214zudtj20hs0ksabf.jpg?KID=imgbed,tva&Expires=1585378667&ssig=OxgkmSliQG",true,null,null
"4477299925828031","4477299925828031",6469473812,"4477298525176167",1582954948,0,1,0,"转发微博","转发微博",1516753065,13208,543,7,1232,1372,"馬耀東-律師","馬耀東-律師","律师，专注刑事辩护 国家一级建造师 高级工程师  某央企前兼职审计专家","m","37","1000",true,"山东翼齐律师事务所 专职律师",0,"山东","https://tvax2.sinaimg.cn/crop.0.0.750.750.180/0073PfFOly8gabvwaqen6j30ku0ku40z.jpg?KID=imgbed,tva&Expires=1585378667&ssig=uDg0hHKMH2",true,null,null
"4477300068426226","4477300068426226",2809398643,"4477298525176167",1582954982,0,0,0,"转发微博","转发微博",1347358062,258,2,12,8358,1260,"做黑夜中的一盏灯","做黑夜中的一盏灯","不求轰轰烈烈,但求尽心尽力!","m","53","1",false,"",-1,"云南 昆明","https://tva4.sinaimg.cn/crop.0.0.180.180.180/a7740573jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1585378667&ssig=2AstAlQ2Dg",true,null,null
"4477300076379413","4477300076379413",7323020798,"4477298525176167",1582954985,0,0,0,"對比襯托出文明","對比襯托出文明",1571483109,26,9,1,73,86,"AeroflyFS210700","AeroflyFS210700","","m","100","1000",false,"",-1,"其他","https://tvax1.sinaimg.cn/default/images/default_avatar_male_180.gif?KID=imgbed,tva&Expires=1585378667&ssig=f%2Fu%2BSCNpN5",true,null,null
"4477300156081680","4477300156081680",1786507321,"4477298525176167",1582955004,0,0,0,"转发微博","转发微博",1280862713,415,40,393,14357,304,"君爸胜利","君爸胜利","","m","44","1",false,"",-1,"广东 广州","https://tva3.sinaimg.cn/crop.0.0.180.180.180/6a7bf039jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1585378667&ssig=xN1zCK733b",true,null,null
"4477300169186708","4477300169186708",7358050326,"4477298525176167",1582955007,0,0,0,"转发微博","转发微博",1576761551,2,0,14,208,56,"Stigcousin","Stigcousin","我没有，我不是，别瞎说","f","31","1000",false,"",-1,"上海","https://tvax4.sinaimg.cn/crop.0.0.512.512.180/0081XD14ly8gd72hohbg9j30e80e8wig.jpg?KID=imgbed,tva&Expires=1585378667&ssig=Z%2B0%2B50Anlg",true,null,null
